step,step_start_date,temp_mean_c,temp_max_c,precip_mm,soil_moisture_%,soil_m_shallow,soil_m_deep,field_id,ndvi,ndwi,temp_c,soil_moisture,soil_type,is_irrigated
0,2026-03-01,6.0600000000000005,13.3,0.7,25.14,0.22280000000000003,0.25139999999999996,101,0.18,0.2556,6.0600000000000005,25.14,2,0
1,2026-03-06,6.32,13.1,0.0,16.44,0.095,0.16440000000000002,101,0.236,0.0537,6.32,16.44,2,0
2,2026-03-11,7.5200000000000005,12.7,44.7,13.559999999999999,0.1456,0.1356,101,0.2717,0.48,7.5200000000000005,13.559999999999999,2,0
3,2026-03-16,9.78,15.6,59.2,26.419999999999998,0.34619999999999995,0.2642,101,0.4445,0.48,9.78,26.419999999999998,2,0
4,2026-03-21,7.640000000000001,13.6,48.7,37.260000000000005,0.3968,0.3726,101,0.6682,0.48,7.640000000000001,37.260000000000005,2,0
5,2026-03-26,10.02,18.2,10.9,34.14,0.34940000000000004,0.34140000000000004,101,0.7258,0.48,10.02,34.14,2,0
6,2026-03-31,10.28,15.9,22.099999999999998,35.08,0.3632,0.3508,101,0.8332,0.48,10.28,35.08,2,0
7,2026-04-05,10.84,16.7,14.4,35.14,0.3658,0.3514,101,0.88,0.48,10.84,35.14,2,0
8,2026-04-10,9.22,15.7,13.3,35.96,0.3674,0.35960000000000003,101,0.88,0.48,9.22,35.96,2,0
9,2026-04-15,14.059999999999999,21.1,55.1,29.4,0.3064,0.294,101,0.88,0.48,14.059999999999999,29.4,2,0
10,2026-04-20,12.919999999999998,19.9,4.3,29.580000000000002,0.28900000000000003,0.2958,101,0.88,0.4073,12.919999999999998,29.580000000000002,2,0
11,2026-04-25,16.68,24.4,9.2,22.419999999999998,0.13999999999999999,0.2242,101,0.779,0.3232,16.68,22.419999999999998,2,0
12,2026-04-30,14.88,24.9,32.5,14.580000000000002,0.1924,0.14579999999999999,101,0.5758,0.48,14.88,14.580000000000002,2,0
13,2026-05-05,13.459999999999999,24.5,14.899999999999999,22.54,0.2842,0.2254,101,0.7919,0.4114,13.459999999999999,22.54,2,0
14,2026-05-10,19.3,25.7,1.3,25.3,0.18919999999999998,0.253,101,0.856,0.2681,19.3,25.3,2,0
15,2026-05-15,17.16,23.6,1.1,24.28,0.1524,0.2428,101,0.8081,0.2427,17.16,24.28,2,0
16,2026-05-20,15.6,22.2,25.3,21.419999999999998,0.2202,0.2142,101,0.7072,0.48,15.6,21.419999999999998,2,0
17,2026-05-25,19.919999999999998,29.0,0.6,20.84,0.19119999999999998,0.2084,101,0.6586,0.1595,19.919999999999998,20.84,2,0
18,2026-05-30,21.740000000000002,30.1,0.0,19.72,0.11399999999999999,0.1972,101,0.5933,0.1258,21.740000000000002,19.72,2,0
19,2026-06-04,24.94,32.9,0.5,18.1,0.0938,0.181,101,0.517,0.0977,24.94,18.1,2,0
20,2026-06-09,25.48,33.0,1.0,15.98,0.06520000000000001,0.1598,101,0.4355,0.0586,25.48,15.98,2,0
21,2026-06-14,25.98,35.0,1.6,15.540000000000001,0.0758,0.1554,101,0.3836,0.0579,25.98,15.540000000000001,2,0
22,2026-06-19,26.419999999999998,34.8,0.2,15.8,0.083,0.158,101,0.3382,0.0426,26.419999999999998,15.8,2,0
23,2026-06-24,27.639999999999997,35.0,0.0,15.319999999999999,0.074,0.1532,101,0.2836,0.029,27.639999999999997,15.319999999999999,2,0
24,2026-06-29,29.766666666666666,37.1,0.0,15.0,0.07366666666666666,0.15,101,0.2311,0.022,29.766666666666666,15.0,2,0
