date,vv_backscatter_db,vh_backscatter_db,rvi_radar_vegetation,radar_soil_moisture_proxy,cloud_penetration_status
2026-03-01,-12.19,-17.52,0.9063,0.2813,100% Penetrated (Microwave)
2026-03-06,-11.29,-17.49,0.774,0.3711,100% Penetrated (Microwave)
2026-03-11,-10.97,-16.79,0.8303,0.4025,100% Penetrated (Microwave)
2026-03-16,-10.4,-16.5,0.7887,0.4602,100% Penetrated (Microwave)
2026-03-21,-10.37,-15.25,0.9825,0.4628,100% Penetrated (Microwave)
2026-03-26,-9.4,-14.12,1.0,0.5599,100% Penetrated (Microwave)
2026-03-31,-9.16,-13.06,1.0,0.5844,100% Penetrated (Microwave)
2026-04-05,-8.96,-13.78,0.993,0.6036,100% Penetrated (Microwave)
2026-04-10,-8.37,-12.91,1.0,0.6631,100% Penetrated (Microwave)
2026-04-15,-7.92,-13.5,0.866,0.7082,100% Penetrated (Microwave)
2026-04-20,-7.36,-12.49,0.938,0.7645,100% Penetrated (Microwave)
2026-04-25,-8.09,-11.69,1.0,0.6912,100% Penetrated (Microwave)
2026-04-30,-8.62,-12.65,1.0,0.6377,100% Penetrated (Microwave)
2026-05-05,-8.39,-12.02,1.0,0.6611,100% Penetrated (Microwave)
2026-05-10,-7.87,-14.0,0.7844,0.7127,100% Penetrated (Microwave)
2026-05-15,-8.35,-12.44,1.0,0.6646,100% Penetrated (Microwave)
2026-05-20,-7.42,-12.0,1.0,0.7584,100% Penetrated (Microwave)
2026-05-25,-8.39,-13.43,0.9538,0.6609,100% Penetrated (Microwave)
2026-05-30,-9.48,-14.19,1.0,0.552,100% Penetrated (Microwave)
2026-06-04,-9.54,-14.55,0.9607,0.5455,100% Penetrated (Microwave)
2026-06-09,-9.45,-15.79,0.7553,0.5545,100% Penetrated (Microwave)
2026-06-14,-10.29,-16.28,0.805,0.4711,100% Penetrated (Microwave)
2026-06-19,-11.05,-16.49,0.8889,0.395,100% Penetrated (Microwave)
2026-06-24,-11.56,-18.26,0.7039,0.3441,100% Penetrated (Microwave)
2026-06-29,-12.56,-17.96,0.8955,0.2444,100% Penetrated (Microwave)
