step,step_start_date,temp_mean_c,temp_max_c,precip_mm,soil_moisture_%,soil_m_shallow,soil_m_deep
0,2026-05-09,17.34,26.6,2.6,20.82,0.1276,0.2082
1,2026-05-14,15.88,24.4,4.8,14.080000000000002,0.073,0.14079999999999998
2,2026-05-19,14.780000000000001,21.6,17.6,14.02,0.11680000000000001,0.14020000000000002
3,2026-05-24,15.38,23.0,19.5,23.46,0.298,0.2346
4,2026-05-29,16.5,26.6,2.6,23.82,0.1488,0.23820000000000002
5,2026-06-03,21.2,29.1,1.6,21.04,0.0878,0.2104
6,2026-06-08,21.14,28.8,10.7,19.84,0.0994,0.1984
7,2026-06-13,20.46,30.6,10.2,17.36,0.0916,0.1736
8,2026-06-18,20.32,31.2,6.5,17.619999999999997,0.12080000000000002,0.1762
9,2026-06-23,23.740000000000002,30.6,0.0,16.86,0.0784,0.16860000000000003
10,2026-06-28,24.96,33.2,0.0,16.639999999999997,0.078,0.16640000000000002
11,2026-07-03,23.84,33.1,15.399999999999999,16.36,0.1256,0.16360000000000002
12,2026-07-08,24.119999999999997,32.2,0.30000000000000004,17.759999999999998,0.09359999999999999,0.17759999999999998
13,2026-07-13,24.939999999999998,33.4,0.0,16.919999999999998,0.0792,0.16920000000000002
14,2026-07-18,26.52,34.3,0.0,16.34,0.078,0.16340000000000002
15,2026-07-23,21.220000000000002,34.2,21.900000000000002,17.68,0.1908,0.1768
16,2026-07-28,20.880000000000003,28.6,0.0,18.96,0.1066,0.1896
17,2026-08-02,26.46,33.1,0.0,17.740000000000002,0.0796,0.1774
18,2026-08-07,27.3,32.6,0.0,17.2,0.078,0.172
